Source: pico-datasheet.pdf
Page: 26
----------------------------------------
Label           | Confidence | BBox (x,y,w,h)
L               | 0.60       | (2173, 2389, 6, 15)
LLLL            | 0.69       | (2125, 2320, 12, 84)
U               | 0.75       | (2069, 2370, 10, 11)
4               | 0.61       | (3193, 2366, 6, 15)
1               | 0.60       | (2036, 2366, 5, 15)
OWOF            | 0.69       | (3875, 2358, 45, 12)
L               | 0.64       | (2943, 2343, 6, 14)
4               | 0.65       | (2892, 2333, 6, 15)
O               | 0.71       | (2306, 2333, 10, 16)
4               | 0.64       | (3882, 2324, 6, 15)
L               | 0.61       | (3053, 2320, 6, 14)
LLL             | 0.62       | (2205, 2297, 17, 37)
IOIFL           | 0.66       | (3863, 2295, 63, 14)
B4              | 0.80       | (4096, 2296, 36, 16)
LUUU            | 0.70       | (2844, 2218, 12, 84)
J               | 0.62       | (2306, 2287, 10, 15)
ULULLULL        | 0.68       | (2271, 2125, 12, 177)
ULLLLLLL        | 0.68       | (3005, 2109, 12, 179)
OI              | 0.63       | (2930, 2274, 22, 14)
ULLLLLUL        | 0.69       | (2125, 2111, 12, 177)
LI              | 0.71       | (3903, 2264, 29, 15)
O               | 0.69       | (2215, 2250, 10, 15)
4               | 0.87       | (2890, 2241, 11, 15)
O               | 0.70       | (3225, 2235, 7, 8)
D               | 0.67       | (2067, 2235, 7, 8)
X4D             | 0.70       | (3192, 2204, 30, 38)
4               | 0.83       | (3051, 2227, 11, 15)
O               | 0.61       | (2930, 2227, 10, 15)
X1O             | 0.70       | (2034, 2204, 30, 38)
4               | 0.89       | (2306, 2218, 10, 15)
X               | 0.82       | (1342, 2213, 13, 15)
F               | 0.60       | (1302, 2213, 9, 15)
4               | 0.76       | (2160, 2204, 10, 14)
XUI             | 0.74       | (3984, 2203, 56, 16)
X               | 0.83       | (3776, 2203, 12, 15)
LLLL            | 0.68       | (2777, 2125, 12, 85)
2               | 0.62       | (2812, 2194, 10, 16)
O               | 0.68       | (2942, 2181, 10, 14)
O               | 0.62       | (2052, 2181, 10, 15)
D               | 0.63       | (697, 2175, 9, 12)
4               | 0.65       | (2892, 2171, 6, 15)
3               | 0.66       | (1387, 2171, 10, 16)
B1              | 0.64       | (3864, 2169, 22, 15)
4               | 0.89       | (1165, 2160, 11, 15)
4IO4            | 0.64       | (2214, 2087, 11, 85)
3               | 0.66       | (3244, 2157, 10, 16)
3               | 0.64       | (2086, 2157, 10, 16)
L               | 0.68       | (1537, 2155, 12, 15)
O               | 0.70       | (2824, 2148, 10, 16)
O               | 0.72       | (1072, 2142, 6, 8)
D               | 0.74       | (956, 2142, 6, 8)
U               | 0.71       | (2069, 2138, 10, 11)
O               | 0.64       | (3052, 2135, 10, 12)
4L4I            | 0.71       | (2930, 2087, 19, 62)
L               | 0.65       | (2162, 2135, 5, 14)
4               | 0.64       | (3193, 2134, 6, 15)
1               | 0.63       | (2036, 2134, 5, 15)
OXD1            | 0.73       | (1038, 2088, 31, 61)
O               | 0.71       | (946, 2134, 7, 8)
U               | 0.73       | (1342, 2123, 12, 15)
3               | 0.64       | (1432, 2113, 10, 16)
I               | 0.60       | (3207, 2111, 10, 15)
4               | 0.87       | (2049, 2111, 10, 15)
X               | 0.82       | (922, 2111, 13, 15)
L               | 0.68       | (1537, 2109, 12, 15)
UV              | 0.67       | (1208, 2079, 27, 15)
UO              | 0.65       | (1067, 2046, 16, 34)
L               | 0.64       | (941, 2065, 6, 15)
LB              | 0.68       | (2676, 2043, 15, 27)
LU              | 0.64       | (2514, 2029, 16, 26)
L               | 0.68       | (1598, 2042, 6, 12)
LLLL            | 0.68       | (1537, 1970, 12, 84)
1               | 0.66       | (1040, 2042, 6, 15)
O               | 0.64       | (1333, 2032, 13, 16)
O               | 0.73       | (2421, 2031, 17, 14)
U               | 0.76       | (2700, 2020, 15, 12)
L               | 0.60       | (1582, 2019, 13, 12)
O               | 0.70       | (949, 2018, 10, 16)
U               | 0.63       | (2653, 2016, 16, 11)
L               | 0.66       | (2537, 2015, 16, 12)
LLL             | 0.66       | (2445, 2015, 61, 12)
L               | 0.65       | (2422, 2003, 15, 11)
3               | 0.65       | (4100, 1995, 10, 16)
NL              | 0.70       | (4011, 1995, 39, 16)
1               | 0.62       | (1434, 1974, 5, 16)
O               | 0.69       | (1166, 1974, 10, 16)
IU              | 0.70       | (2676, 1957, 16, 26)
3O              | 0.65       | (2537, 1958, 16, 24)
L               | 0.65       | (2630, 1957, 15, 12)
3               | 0.63       | (3991, 1928, 10, 16)
O               | 0.60       | (888, 1924, 10, 15)
44O4I4O444      | 0.71       | (2570, 1906, 153, 23)
U               | 0.64       | (2547, 1907, 14, 10)
O4O             | 0.67       | (2431, 1906, 61, 11)
U4              | 0.61       | (2243, 1903, 22, 15)
